선정 순번,원본 단어 번호,단어,범주,선정 기준,비고
52,1135,빠르다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
53,1337,느리다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
54,1130,원하다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
55,1139,믿다,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
56,1577,시작,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
57,1584,관계,핵심·동작·의사소통,대화 문장의 뼈대가 되고 다양한 상황에서 반복 활용되는 단어,손 사용 수와 무관하게 선정
58,1204,친구,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
59,1492,가족,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
60,1104,남자,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
61,1275,여자,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
62,1189,아기,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
63,1528,엄마,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
64,1531,남편,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
65,1524,아내,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
66,1574,형,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
67,1516,누나,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
68,1556,오빠,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
69,1518,여동생,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
70,1522,딸,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
71,1565,할머니,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
72,1566,할아버지,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
73,1568,조카,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
74,608,친척,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
75,1535,부부,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
76,2143,신부,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
77,2144,신혼,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
78,239,학부모,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
79,140,교수,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
80,141,교장,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
81,187,간호사,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
82,163,의사,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
83,174,통역사,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
84,159,요리사,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
85,147,디자이너,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
86,157,예술가,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
87,2184,직원,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
88,2185,사장,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
89,2190,운전자,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
90,212,고등학생,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
91,230,여학생,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
92,2023,청년,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
93,2024,청소년,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
94,2032,노인,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
95,14,외국인,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
96,2013,한국인,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
97,461,농인,사람·관계,가족·지인·직업·사용자 관계를 설명할 때 자주 필요한 단어,손 사용 수와 무관하게 선정
98,1530,바쁘다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
99,1222,힘들다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
100,9,슬프다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
101,11,안타깝다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
102,26,급하다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
103,1294,걱정,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
104,1123,불안,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
105,1128,당황,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
106,1134,무섭다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
107,1124,밉다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
108,1140,즐겁다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
109,1169,행복,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
110,1195,실망,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
111,1217,희망,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
112,1201,죄송,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
113,1290,감사,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
114,1215,창피,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
115,1220,부럽다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
116,1289,감동,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
117,1224,웃다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
118,1399,미소,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
119,1205,우습다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
120,1731,재미없다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
121,1212,지겹다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
122,1346,귀찮다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
123,684,괴롭다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
124,968,난감하다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
125,1236,화나다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
126,1255,짜증,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
127,1251,우울,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
128,1252,후회,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
129,1158,피곤하다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
130,953,배고프다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
131,1200,배부르다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
132,1244,졸리다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
133,1248,춥다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
134,1382,덥다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
135,1383,따뜻하다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
136,1301,시원하다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
137,2542,뜨겁다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
138,1152,아프다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
139,1145,예쁘다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
140,1314,귀엽다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
141,1156,나쁘다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
142,1177,솔직,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
143,1188,차분,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
144,22,침착,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
145,23,성실,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
146,1154,깨끗하다,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
147,1186,조심,감정·상태·성격,"감정, 컨디션, 평가와 반응을 짧게 전달하기 좋은 단어",손 사용 수와 무관하게 선정
148,1592,회사,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
149,1496,병원,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
150,41,보건소,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
151,104,식당,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
152,2183,사무실,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
153,215,교실,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
154,232,연구실,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
155,226,서점,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
156,168,주차장,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
157,206,주유소,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
158,2177,공항,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
159,156,기차역,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
160,172,터미널,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
161,1456,시청,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
162,489,주민센터,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
163,136,경찰서,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
164,655,수영장,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
165,2153,운동장,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
166,634,서울역,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
167,170,출근,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
168,173,근무,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
169,175,퇴사,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
170,193,구직,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
171,2196,취업,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
172,166,재택근무,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
173,2179,월급,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
174,164,이력서,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
175,1581,시험,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
176,228,실습,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
177,412,학습,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
178,223,복습,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
179,233,예습,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
180,878,출석,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
181,34,독서,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
182,238,연구,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
183,241,훈련,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
184,169,채팅,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
185,808,전화번호,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
186,1540,생활,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
187,155,여행사,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
188,2057,관광,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
189,1503,구경,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
190,1558,이사,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
191,1557,출장,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
192,1501,운전면허,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
193,201,신용카드,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
194,130,월세,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
195,131,전세,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
196,2174,용돈,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
197,200,수입,생활·장소·업무·학습,"일상 외출, 직장, 학교, 행정 상황에서 활용도가 높은 단어",손 사용 수와 무관하게 선정
198,5,눈,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
199,1370,귀,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
200,1235,코,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
201,1279,입,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
