label_index,word_id,word,support,accuracy,precision,recall,f1
88,2190,운전자,5,1.0,1.0,1.0,1.0
89,212,고등학생,5,1.0,1.0,1.0,1.0
90,230,여학생,5,1.0,1.0,1.0,1.0
91,2023,청년,5,1.0,1.0,1.0,1.0
92,2024,청소년,5,1.0,1.0,1.0,1.0
93,2032,노인,5,1.0,1.0,1.0,1.0
94,14,외국인,5,1.0,1.0,1.0,1.0
95,2013,한국인,5,1.0,1.0,1.0,1.0
96,461,농인,5,1.0,1.0,1.0,1.0
97,1530,바쁘다,5,1.0,1.0,1.0,1.0
98,1222,힘들다,5,1.0,1.0,1.0,1.0
99,9,슬프다,5,1.0,1.0,1.0,1.0
100,11,안타깝다,5,1.0,1.0,1.0,1.0
101,26,급하다,5,1.0,1.0,1.0,1.0
102,1294,걱정,5,1.0,1.0,1.0,1.0
103,1123,불안,5,1.0,1.0,1.0,1.0
104,1128,당황,5,1.0,1.0,1.0,1.0
105,1134,무섭다,5,1.0,1.0,1.0,1.0
106,1124,밉다,5,1.0,1.0,1.0,1.0
107,1140,즐겁다,5,1.0,1.0,1.0,1.0
108,1169,행복,5,1.0,1.0,1.0,1.0
109,1195,실망,5,1.0,1.0,1.0,1.0
110,1217,희망,5,1.0,1.0,1.0,1.0
111,1201,죄송,5,1.0,1.0,1.0,1.0
112,1290,감사,5,1.0,1.0,1.0,1.0
113,1215,창피,5,1.0,1.0,1.0,1.0
114,1220,부럽다,5,1.0,0.625,1.0,0.7692307692307693
115,1289,감동,5,1.0,1.0,1.0,1.0
116,1224,웃다,5,1.0,1.0,1.0,1.0
117,1399,미소,5,1.0,1.0,1.0,1.0
118,1205,우습다,5,1.0,1.0,1.0,1.0
119,1731,재미없다,5,1.0,1.0,1.0,1.0
120,1212,지겹다,5,1.0,1.0,1.0,1.0
121,1346,귀찮다,5,1.0,1.0,1.0,1.0
122,684,괴롭다,5,1.0,1.0,1.0,1.0
123,968,난감하다,5,1.0,1.0,1.0,1.0
124,1236,화나다,5,1.0,1.0,1.0,1.0
125,1255,짜증,5,1.0,1.0,1.0,1.0
126,1251,우울,5,1.0,1.0,1.0,1.0
127,1252,후회,5,1.0,0.5555555555555556,1.0,0.7142857142857143
128,1158,피곤하다,5,1.0,1.0,1.0,1.0
129,953,배고프다,5,1.0,1.0,1.0,1.0
130,1200,배부르다,5,1.0,1.0,1.0,1.0
131,1244,졸리다,5,1.0,1.0,1.0,1.0
132,1248,춥다,5,1.0,1.0,1.0,1.0
133,1382,덥다,5,1.0,1.0,1.0,1.0
134,1383,따뜻하다,5,1.0,1.0,1.0,1.0
135,1301,시원하다,5,1.0,1.0,1.0,1.0
136,2542,뜨겁다,5,1.0,1.0,1.0,1.0
137,1152,아프다,5,1.0,1.0,1.0,1.0
138,1145,예쁘다,5,1.0,1.0,1.0,1.0
139,1314,귀엽다,5,1.0,1.0,1.0,1.0
140,1156,나쁘다,5,1.0,1.0,1.0,1.0
141,1177,솔직,5,1.0,1.0,1.0,1.0
142,1188,차분,5,1.0,1.0,1.0,1.0
143,22,침착,5,1.0,1.0,1.0,1.0
144,23,성실,5,1.0,1.0,1.0,1.0
145,1154,깨끗하다,5,1.0,1.0,1.0,1.0
146,1186,조심,5,1.0,1.0,1.0,1.0
147,1592,회사,5,1.0,1.0,1.0,1.0
148,1496,병원,5,1.0,1.0,1.0,1.0
149,41,보건소,5,1.0,1.0,1.0,1.0
150,104,식당,5,1.0,1.0,1.0,1.0
151,2183,사무실,5,1.0,1.0,1.0,1.0
152,215,교실,5,1.0,1.0,1.0,1.0
153,232,연구실,5,1.0,1.0,1.0,1.0
154,226,서점,5,1.0,1.0,1.0,1.0
155,168,주차장,5,1.0,1.0,1.0,1.0
156,206,주유소,5,1.0,1.0,1.0,1.0
157,2177,공항,5,1.0,1.0,1.0,1.0
158,156,기차역,5,1.0,1.0,1.0,1.0
159,172,터미널,5,1.0,1.0,1.0,1.0
160,1456,시청,5,1.0,1.0,1.0,1.0
161,489,주민센터,5,1.0,1.0,1.0,1.0
162,136,경찰서,5,1.0,1.0,1.0,1.0
163,655,수영장,5,1.0,1.0,1.0,1.0
164,2153,운동장,5,1.0,1.0,1.0,1.0
165,634,서울역,5,1.0,1.0,1.0,1.0
166,170,출근,5,1.0,1.0,1.0,1.0
167,173,근무,5,1.0,1.0,1.0,1.0
168,175,퇴사,5,1.0,1.0,1.0,1.0
169,193,구직,5,1.0,1.0,1.0,1.0
170,2196,취업,5,1.0,1.0,1.0,1.0
171,166,재택근무,5,1.0,1.0,1.0,1.0
172,2179,월급,5,1.0,1.0,1.0,1.0
173,164,이력서,5,1.0,1.0,1.0,1.0
174,1581,시험,5,1.0,1.0,1.0,1.0
175,228,실습,5,1.0,1.0,1.0,1.0
176,412,학습,5,1.0,1.0,1.0,1.0
177,223,복습,5,1.0,1.0,1.0,1.0
178,233,예습,5,1.0,1.0,1.0,1.0
179,878,출석,5,1.0,1.0,1.0,1.0
180,34,독서,5,1.0,1.0,1.0,1.0
181,238,연구,5,1.0,1.0,1.0,1.0
182,241,훈련,5,1.0,1.0,1.0,1.0
183,169,채팅,5,1.0,1.0,1.0,1.0
184,808,전화번호,5,1.0,1.0,1.0,1.0
185,1540,생활,5,1.0,1.0,1.0,1.0
186,155,여행사,5,1.0,1.0,1.0,1.0
187,2057,관광,5,1.0,1.0,1.0,1.0
188,1503,구경,5,1.0,1.0,1.0,1.0
189,1558,이사,5,1.0,1.0,1.0,1.0
190,1557,출장,5,1.0,1.0,1.0,1.0
191,1501,운전면허,5,1.0,1.0,1.0,1.0
192,201,신용카드,5,1.0,1.0,1.0,1.0
193,130,월세,5,1.0,1.0,1.0,1.0
194,131,전세,5,1.0,1.0,1.0,1.0
195,2174,용돈,5,1.0,1.0,1.0,1.0
196,200,수입,5,1.0,1.0,1.0,1.0
197,5,눈,5,1.0,1.0,1.0,1.0
198,1370,귀,5,1.0,0.8333333333333334,1.0,0.9090909090909091
199,1235,코,5,0.8,0.5,0.8,0.6153846153846154
200,1279,입,5,1.0,1.0,1.0,1.0
201,1181,혀,5,1.0,1.0,1.0,1.0
202,1374,이마,5,1.0,1.0,1.0,1.0
203,1375,볼,5,0.4,0.6666666666666666,0.4,0.5
204,1262,턱,5,0.2,1.0,0.2,0.33333333333333337
205,1376,목,5,1.0,1.0,1.0,1.0
206,1226,손,5,1.0,1.0,1.0,1.0
207,1147,팔,5,1.0,1.0,1.0,1.0
208,1599,다리,5,1.0,1.0,1.0,1.0
209,1253,몸,5,1.0,1.0,1.0,1.0
210,1210,얼굴,5,1.0,1.0,1.0,1.0
211,1249,머리,5,1.0,1.0,1.0,1.0
212,1241,머리카락,5,1.0,1.0,1.0,1.0
213,1371,눈썹,5,1.0,0.8333333333333334,1.0,0.9090909090909091
214,1373,치아,5,1.0,1.0,1.0,1.0
215,288,체온,5,1.0,1.0,1.0,1.0
216,2039,몸무게,5,1.0,1.0,1.0,1.0
217,1115,건강,5,1.0,1.0,1.0,1.0
218,37,감기,5,1.0,1.0,1.0,1.0
219,1533,병,5,1.0,1.0,1.0,1.0
220,1576,환자,5,1.0,1.0,1.0,1.0
221,29,검사,5,1.0,1.0,1.0,1.0
222,64,치료,5,1.0,1.0,1.0,1.0
223,57,회복,5,1.0,1.0,1.0,1.0
224,60,입원,5,1.0,1.0,1.0,1.0
225,67,퇴원,5,1.0,1.0,1.0,1.0
226,689,통증,5,1.0,1.0,1.0,1.0
227,1519,상처,5,1.0,1.0,1.0,1.0
228,71,화상,5,1.0,1.0,1.0,1.0
229,387,골절,5,1.0,1.0,1.0,1.0
230,46,설사,5,1.0,1.0,1.0,1.0
231,39,변비,5,1.0,1.0,1.0,1.0
232,970,불면,5,1.0,1.0,1.0,1.0
233,44,붕대,5,1.0,1.0,1.0,1.0
234,2131,물약,5,1.0,1.0,1.0,1.0
235,2108,가루약,5,1.0,1.0,1.0,1.0
236,132,치약,5,1.0,1.0,1.0,1.0
237,1534,밥,5,1.0,1.0,1.0,1.0
238,115,커피,5,1.0,1.0,1.0,1.0
239,815,우유,5,1.0,1.0,1.0,1.0
240,7,음료수,5,1.0,1.0,1.0,1.0
241,99,사과,5,1.0,1.0,1.0,1.0
242,88,딸기,5,1.0,1.0,1.0,1.0
243,90,라면,5,1.0,1.0,1.0,1.0
244,87,두부,5,1.0,1.0,1.0,1.0
245,86,돼지고기,5,1.0,1.0,1.0,1.0
246,98,비빔밥,5,1.0,1.0,1.0,1.0
247,100,사이다,5,1.0,1.0,1.0,1.0
248,116,콜라,5,1.0,1.0,1.0,1.0
249,109,술,5,1.0,1.0,1.0,1.0
250,165,자가용,5,1.0,1.0,1.0,1.0
251,149,구급차,5,1.0,1.0,1.0,1.0
252,148,마을버스,5,1.0,1.0,1.0,1.0
253,1593,기차,5,1.0,1.0,1.0,1.0
254,154,여객선,5,1.0,1.0,1.0,1.0
255,846,차도,5,1.0,1.0,1.0,1.0
256,1342,왼쪽,5,1.0,1.0,1.0,1.0
257,1343,오른쪽,5,1.0,1.0,1.0,1.0
258,2100,위,5,1.0,1.0,1.0,1.0
259,2577,아래,5,1.0,1.0,1.0,1.0
260,1578,밖,5,1.0,1.0,1.0,1.0
261,948,가깝다,5,1.0,1.0,1.0,1.0
262,949,멀다,5,1.0,1.0,1.0,1.0
263,339,아까,5,1.0,1.0,1.0,1.0
264,320,방금,5,1.0,0.8333333333333334,1.0,0.9090909090909091
265,334,예전,5,1.0,1.0,1.0,1.0
266,309,어젯밤,5,1.0,1.0,1.0,1.0
267,336,월요일,5,1.0,1.0,1.0,1.0
268,347,화요일,5,1.0,1.0,1.0,1.0
269,329,수요일,5,1.0,1.0,1.0,1.0
270,316,금요일,5,1.0,1.0,1.0,1.0
271,257,일요일,5,1.0,1.0,1.0,1.0
272,344,평일,5,1.0,1.0,1.0,1.0
273,312,공휴일,5,1.0,1.0,1.0,1.0
274,338,자정,5,1.0,1.0,1.0,1.0
275,814,월초,5,1.0,1.0,1.0,1.0
276,932,매일매일,5,1.0,1.0,1.0,1.0
277,2631,영,5,1.0,1.0,1.0,1.0
278,2632,일,5,1.0,1.0,1.0,1.0
279,2633,이,5,1.0,1.0,1.0,1.0
280,2634,삼,5,1.0,1.0,1.0,1.0
281,2635,사,5,1.0,1.0,1.0,1.0
282,2636,오,5,1.0,1.0,1.0,1.0
283,2637,육,5,1.0,1.0,1.0,1.0
284,2638,칠,5,1.0,1.0,1.0,1.0
285,2640,구,5,1.0,1.0,1.0,1.0
286,2641,십,5,1.0,1.0,1.0,1.0
287,1322,빨강,5,1.0,1.0,1.0,1.0
288,1323,노랑,5,1.0,1.0,1.0,1.0
289,1324,초록,5,1.0,0.5555555555555556,1.0,0.7142857142857143
290,1325,파랑,5,0.2,1.0,0.2,0.33333333333333337
291,1321,검정,5,1.0,1.0,1.0,1.0
292,1121,흰,5,0.6,1.0,0.6,0.7499999999999999
293,290,하늘,5,1.0,1.0,1.0,1.0
294,2538,달,5,1.0,1.0,1.0,1.0
295,2551,별,5,1.0,1.0,1.0,1.0
296,2552,비,5,1.0,1.0,1.0,1.0
297,2549,바람,5,1.0,1.0,1.0,1.0
298,2546,바다,5,1.0,1.0,1.0,1.0
299,2563,온도,5,1.0,1.0,1.0,1.0
